video_file,experiment,version,condition,subject,Recording_name,IP1_gaze_time,IP2_gaze_time,IP3_gaze_time,IP1_duration,IP2_duration,IP3_duration,include_trial
continuity_ver1_n_cont,continuity,ver1,cont,Asega,Recording354,1679.8020000000015,450.0589999999993,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Asega,Recording44,1146.6550000000007,1343.2739999999994,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Becky,Recording141,2479.7659999999996,1129.7490000000034,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Becky,Recording319,1653.1450000000004,859.6670000000013,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Bolly,Recording185,2573.0120000000006,1976.5569999999989,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Ikuru,Recording53,1929.4539999999997,2406.42,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Kalema,Recording93,719.6900000000005,1556.5080000000016,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Kaza,Recording77,2879.665000000001,2882.870000000001,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Medina,Recording334,673.422999999997,799.8950000000023,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Medina,Recording47,1993.0990000000002,0,0,2878,3000,NA,FALSE
continuity_ver1_n_cont,continuity,ver1,cont,Namukisa,Recording284,749.9930000000004,1686.491,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Namukisa,Recording306,719.8850000000002,2593.026999999998,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Namukisa,Recording66,2860.0170000000016,376.6180000000004,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Okechi,Recording129,2499.7080000000005,2732.9429999999993,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording17,233.1070000000018,0,0,2878,3000,NA,FALSE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording252,1799.798999999999,353.15599999999904,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording253,2603.148000000001,1509.9620000000032,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording310,2163.192000000001,220.0639999999985,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording313,1956.4360000000015,1702.8359999999975,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording315,1426.4889999999996,959.9089999999978,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Pasa,Recording316,2473.228000000003,2469.607000000002,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Sally,Recording85,2576.607000000002,1882.9920000000002,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Themba,Recording104,2106.3240000000023,2622.991000000002,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Umugenzi,Recording304,960,983.3780000000006,0,2878,3000,NA,TRUE
continuity_ver1_n_cont,continuity,ver1,cont,Umugenzi,Recording40,2449.8230000000003,0,0,2878,3000,NA,FALSE
continuity_ver1_n_cont,continuity,ver1,cont,Yoyo,Recording144,1213.199999999999,290.0569999999989,0,2878,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Asega,Recording288,716.5910000000003,283.6769999999997,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Asega,Recording357,863.0699999999943,888.0459999999948,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Becky,Recording112,2549.1659999999956,1979.662000000002,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Bolly,Recording320,783.3529999999992,2006.4540000000015,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Bolly,Recording57,2399.976999999999,86.67599999999948,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Ikuru,Recording195,1819.965000000001,2686.1950000000015,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Kalema,Recording70,2159.7660000000014,2159.730999999998,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Medina,Recording173,363.34500000000116,1033.2589999999927,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Namukisa,Recording177,550.0720000000001,466.8269999999957,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Namukisa,Recording285,1933.0959999999995,0,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Namukisa,Recording307,683.1740000000009,0,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Namukisa,Recording308,2396.2890000000007,23.35000000000582,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Namukisa,Recording309,190.03399999999965,809.9590000000007,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Okechi,Recording203,2459.6849999999986,2623.1460000000006,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Pasa,Recording250,2149.6440000000002,1379.7440000000006,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Sally,Recording263,2052.880000000003,1906.3509999999987,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Themba,Recording210,2466.6180000000004,2442.9620000000014,0,2726,3000,NA,TRUE
continuity_ver1_n_test,continuity,ver1,test,Umugenzi,Recording6,0,163.42599999999766,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Yoyo,Recording236,2333.0640000000003,86.54199999999764,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Yoyo,Recording345,2389.4119999999975,0,0,2726,3000,NA,FALSE
continuity_ver1_n_test,continuity,ver1,test,Yoyo,Recording349,796.6449999999986,809.9089999999997,0,2726,3000,NA,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Asega,Recording118,513.2780000000002,586.6129999999994,979.9760000000024,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Becky,Recording60,629.9259999999995,583.3639999999996,2912.9820000000036,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Bolly,Recording136,629.9310000000005,586.5969999999998,2079.7570000000014,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Ikuru,Recording278,579.9349999999995,356.53700000000026,1329.9529999999995,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Ikuru,Recording97,140.03800000000047,583.2000000000007,2099.8230000000003,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Kalema,Recording294,0,3.381999999999607,0,629,585,3000,FALSE
continuity_ver2_n_cont,continuity,ver2,cont,Kalema,Recording299,166.64199999999983,79.98899999999958,703.2299999999996,629,585,3000,FALSE
continuity_ver2_n_cont,continuity,ver2,cont,Kaza,Recording227,533.0360000000001,262.86199999999735,1213.3099999999995,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Kaza,Recording231,616.741,133.3209999999999,610.014000000001,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Medina,Recording27,573.2799999999988,363.41200000000026,2036.3359999999993,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Namukisa,Recording87,629.8130000000001,423.1760000000013,283.396999999999,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Okechi,Recording72,629.8289999999997,583.152,2999.6530000000002,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Pasa,Recording51,630.030999999999,463.375,2303.3050000000003,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Sally,Recording166,0,126.64300000000003,0,629,585,3000,FALSE
continuity_ver2_n_cont,continuity,ver2,cont,Themba,Recording124,629.9979999999996,583.3590000000004,2502.934000000001,629,585,3000,TRUE
continuity_ver2_n_cont,continuity,ver2,cont,Umugenzi,Recording132,623.2569999999996,0,9.904000000000451,629,585,3000,FALSE
continuity_ver2_n_cont,continuity,ver2,cont,Yoyo,Recording338,0,173.10599999999977,1006.3309999999983,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Asega,Recording290,0,0,513.2710000000006,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Becky,Recording219,443.1700000000001,333.3000000000011,676.4789999999994,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Bolly,Recording225,629.8279999999995,583.152,1009.9990000000016,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Ikuru,Recording168,346.6319999999996,353.29199999999946,2593.2919999999995,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Kalema,Recording20,0,549.8050000000003,0,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Kalema,Recording296,629.9169999999995,479.9300000000003,2999.6540000000005,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Kaza,Recording160,629.8020000000015,373.27400000000125,2496.4900000000016,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Medina,Recording271,449.96100000000115,3.3400000000001455,499.96900000000096,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Namukisa,Recording152,0,0,0,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Okechi,Recording207,433.28600000000006,169.86499999999978,566.4800000000014,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Pasa,Recording155,0,106.50700000000143,76.54099999999926,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Sally,Recording146,373.3029999999999,26.675999999999476,80.22799999999734,629,585,3000,FALSE
continuity_ver2_n_test,continuity,ver2,test,Themba,Recording213,630.0300000000007,583.3779999999988,2615.387999999999,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Umugenzi,Recording135,629.8329999999987,583.1689999999999,813.3469999999998,629,585,3000,TRUE
continuity_ver2_n_test,continuity,ver2,test,Yoyo,Recording233,226.63999999999942,0,306.65100000000166,629,585,3000,FALSE
gravity_ver1_n_cont,gravity,ver1,cont,Asega,Recording188,100.16100000000188,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Asega,Recording355,706.6100000000006,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Becky,Recording111,1449.7199999999993,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Bolly,Recording222,2163.081,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Ikuru,Recording194,846.5,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Ikuru,Recording280,0,0,0,3000,NA,NA,FALSE
gravity_ver1_n_cont,gravity,ver1,cont,Ikuru,Recording281,539.7459999999974,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Ikuru,Recording282,1973.3910000000014,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Kalema,Recording201,43.38800000000083,0,0,3000,NA,NA,FALSE
gravity_ver1_n_cont,gravity,ver1,cont,Kalema,Recording298,296.4790000000012,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Kaza,Recording33,2999.6510000000017,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Medina,Recording332,0,0,0,3000,NA,NA,FALSE
gravity_ver1_n_cont,gravity,ver1,cont,Medina,Recording335,1746.692000000001,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Medina,Recording99,156.54099999999926,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Namukisa,Recording176,323.29799999999886,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Okechi,Recording240,566.4969999999994,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Pasa,Recording80,196.63000000000102,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Sally,Recording262,1170.0859999999993,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Themba,Recording209,1943.1729999999989,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Umugenzi,Recording180,420.16699999999946,0,0,3000,NA,NA,TRUE
gravity_ver1_n_cont,gravity,ver1,cont,Yoyo,Recording237,0,0,0,3000,NA,NA,FALSE
gravity_ver1_n_cont,gravity,ver1,cont,Yoyo,Recording346,433.28600000000006,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Asega,Recording45,1703.028000000002,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Becky,Recording182,886.4570000000003,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Bolly,Recording186,2289.6309999999994,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Ikuru,Recording52,2576.3210000000017,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Kalema,Recording94,1226.7340000000004,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Kaza,Recording78,2999.6629999999986,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Medina,Recording12,1339.9990000000016,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Namukisa,Recording114,2046.173999999999,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Okechi,Recording130,993.2439999999988,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Pasa,Recording50,2936.2250000000004,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Sally,Recording150,789.7900000000009,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Themba,Recording120,2992.9699999999993,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Umugenzi,Recording41,2096.3290000000015,0,0,3000,NA,NA,TRUE
gravity_ver1_n_test,gravity,ver1,test,Yoyo,Recording35,1269.7849999999999,0,0,3000,NA,NA,TRUE
gravity_ver2_n_cont,gravity,ver2,cont,Asega,Recording291,909.893,0,0,1002,NA,NA,TRUE
gravity_ver2_n_cont,gravity,ver2,cont,Becky,Recording62,399.85999999999876,0,0,1002,NA,NA,TRUE
gravity_ver2_n_cont,gravity,ver2,cont,Bolly,Recording137,709.9230000000007,0,0,1002,NA,NA,TRUE
gravity_ver2_n_cont,gravity,ver2,cont,Ikuru,Recording274,873.2290000000012,0,0,1002,NA,NA,TRUE
gravity_ver2_n_cont,gravity,ver2,cont,Kalema,Recording68,999.8700000000008,0,0,1002,NA,NA,TRUE
gravity_ver2_n_cont,gravity,ver2,cont,Kaza,Recording162,9.885000000000218,0,0,1002,NA,NA,FALSE
